onset	duration	trial_type	response_time	accuracy	motion_coherence	SSD	stop_success
1.2669999999998254	0.547999999998865	stop	0.535	1	-0.7	0.3	0
7.516999999999825	0.8869999999988067	go	0.885	1	0.1	n/a	n/a
13.766999999999825	1.0030000000006112	go	1.002	0	-0.1	n/a	n/a
16.766999999999825	1.7530000000006112	stop	n/a	n/a	0.1	0.3	1
20.016999999999825	1.7530000000006112	stop	n/a	n/a	0.0	0.3	1
24.766999999999825	0.5859999999993306	stop	0.585	1	0.7	0.275	0
33.01599999999962	1.1709999999984575	go	1.169	1	0.1	n/a	n/a
40.01599999999962	0.6199999999989814	stop	0.619	1	0.3	0.3	0
44.76599999999962	1.7530000000006112	stop	n/a	n/a	-0.1	0.325	1
48.76599999999962	0.5869999999995343	go	0.585	1	0.3	n/a	n/a
52.51599999999962	0.5540000000000873	go	0.553	1	0.7	n/a	n/a
57.26599999999962	0.5370000000002619	go	0.535	1	-0.7	n/a	n/a
60.51599999999962	0.48700000000098953	go	0.485	1	-0.7	n/a	n/a
65.01499999999942	0.5380000000004657	go	0.535	1	-0.3	n/a	n/a
70.76499999999942	0.48700000000098953	go	0.485	1	0.3	n/a	n/a
74.26499999999942	0.4209999999984575	go	0.419	1	-0.1	n/a	n/a
79.51499999999942	0.4209999999984575	stop	0.419	0	-0.3	0.275	0
86.26499999999942	1.1539999999986321	go	1.152	0	0.0	n/a	n/a
89.51499999999942	0.5560000000004948	go	0.552	1	0.3	n/a	n/a
94.01499999999942	0.47000000000116415	go	0.469	1	-0.3	n/a	n/a
101.76499999999942	0.6539999999986321	go	0.652	1	-0.1	n/a	n/a
105.51399999999921	0.6389999999992142	go	0.637	1	-0.3	n/a	n/a
111.51399999999921	0.6870000000017171	go	0.685	1	0.1	n/a	n/a
115.01399999999921	0.6039999999993597	go	0.602	1	0.7	n/a	n/a
119.01399999999921	0.6209999999991851	go	0.619	1	-0.7	n/a	n/a
125.76399999999921	0.47000000000116415	go	0.469	1	0.7	n/a	n/a
132.7639999999992	0.569999999999709	go	0.569	0	0.0	n/a	n/a
