onset	duration	stimulus_type	accuracy	response_time	trial_type
18.3	4	Sent	1.0	n/a	sentence
22.3	1	Sent	1.0	0.837378978729	probe
24.3	4	Sent	1.0	n/a	sentence
28.3	1	Sent	1.0	1.30248904228	probe
30.3	4	Sent	1.0	n/a	sentence
34.3	1	Sent	1.0	0.869825839996	probe
36.3	4	Nonw	1.0	n/a	sentence
40.3	1	Nonw	1.0	0.76949095726	probe
42.3	4	Nonw	1.0	n/a	sentence
46.3	1	Nonw	1.0	0.93648314476	probe
48.3	4	Nonw	1.0	n/a	sentence
52.3	1	Nonw	1.0	0.752848863602	probe
54.3	4	Nonw	0.0	n/a	sentence
58.3	1	Nonw	0.0	1.08457612991	probe
60.3	4	Nonw	1.0	n/a	sentence
64.3	1	Nonw	1.0	0.736037015915	probe
66.3	4	Nonw	1.0	n/a	sentence
70.3	1	Nonw	1.0	0.769448041916	probe
72.3	4	Sent	1.0	n/a	sentence
76.3	1	Sent	1.0	0.919852018356	probe
78.3	4	Sent	1.0	n/a	sentence
82.3	1	Sent	1.0	0.819622993469	probe
84.3	4	Sent	1.0	n/a	sentence
88.3	1	Sent	1.0	0.787910938263	probe
108.3	4	Nonw	1.0	n/a	sentence
112.3	1	Nonw	1.0	0.986663103104	probe
114.3	4	Nonw	1.0	n/a	sentence
118.3	1	Nonw	1.0	1.03440284729	probe
120.3	4	Nonw	1.0	n/a	sentence
124.3	1	Nonw	1.0	0.936478853226	probe
126.3	4	Sent	1.0	n/a	sentence
130.3	1	Sent	1.0	1.03408002853	probe
132.3	4	Sent	1.0	n/a	sentence
136.3	1	Sent	1.0	0.869797945023	probe
138.3	4	Sent	1.0	n/a	sentence
142.3	1	Sent	1.0	0.769580841064	probe
144.3	4	Nonw	1.0	n/a	sentence
148.3	1	Nonw	1.0	0.955541849136	probe
150.3	4	Nonw	0.0	n/a	sentence
154.3	1	Nonw	0.0	0.953265190125	probe
156.3	4	Nonw	1.0	n/a	sentence
160.3	1	Nonw	1.0	0.786103010178	probe
162.3	4	Sent	1.0	n/a	sentence
166.3	1	Sent	1.0	0.836320877075	probe
168.3	4	Sent	1.0	n/a	sentence
172.3	1	Sent	1.0	0.836580038071	probe
174.3	4	Sent	1.0	n/a	sentence
178.3	1	Sent	1.0	0.802838087082	probe
198.3	4	Sent	1.0	n/a	sentence
202.3	1	Sent	1.0	0.752736091614	probe
204.3	4	Sent	1.0	n/a	sentence
208.3	1	Sent	1.0	0.754502058029	probe
210.3	4	Sent	1.0	n/a	sentence
214.3	1	Sent	1.0	0.869645118713	probe
216.3	4	Nonw	0.0	n/a	sentence
220.3	1	Nonw	0.0	1.25155997276	probe
222.3	4	Nonw	1.0	n/a	sentence
226.3	1	Nonw	1.0	0.93713092804	probe
228.3	4	Nonw	1.0	n/a	sentence
232.3	1	Nonw	1.0	0.886411905289	probe
234.3	4	Sent	1.0	n/a	sentence
238.3	1	Sent	1.0	0.871904850006	probe
240.3	4	Sent	1.0	n/a	sentence
244.3	1	Sent	1.0	0.855247974396	probe
246.3	4	Sent	1.0	n/a	sentence
250.3	1	Sent	1.0	0.903166055679	probe
252.3	4	Nonw	1.0	n/a	sentence
256.3	1	Nonw	1.0	0.869351148605	probe
258.3	4	Nonw	1.0	n/a	sentence
262.3	1	Nonw	1.0	1.03385186195	probe
264.3	4	Nonw	0.0	n/a	sentence
268.3	1	Nonw	0.0	1.0678319931	probe
288.3	4	Nonw	1.0	n/a	sentence
292.3	1	Nonw	1.0	0.919674873352	probe
294.3	4	Nonw	1.0	n/a	sentence
298.3	1	Nonw	1.0	0.972470998764	probe
300.3	4	Nonw	1.0	n/a	sentence
304.3	1	Nonw	1.0	1.05106306076	probe
306.3	4	Sent	1.0	n/a	sentence
310.3	1	Sent	1.0	0.902947187424	probe
312.3	4	Sent	1.0	n/a	sentence
316.3	1	Sent	1.0	0.769484996796	probe
318.3	4	Sent	1.0	n/a	sentence
322.3	1	Sent	1.0	0.769400835037	probe
324.3	4	Sent	1.0	n/a	sentence
328.3	1	Sent	1.0	1.00595879555	probe
330.3	4	Sent	1.0	n/a	sentence
334.3	1	Sent	1.0	0.786175012589	probe
336.3	4	Sent	1.0	n/a	sentence
340.3	1	Sent	1.0	0.869692802429	probe
342.3	4	Nonw	1.0	n/a	sentence
346.3	1	Nonw	1.0	1.03417301178	probe
348.3	4	Nonw	0.0	n/a	sentence
352.3	1	Nonw	0.0	1.25134801865	probe
354.3	4	Nonw	0.0	n/a	sentence
358.3	1	Nonw	0.0	1.15178012848	probe
