Experiment date: 2013_10_10_7_38_44
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
2	1	1	0.100	999	0.000	999	1	0.300
2	2	0	0.100	0	0.720	0	999	0.325
2	3	0	0.000	0	0.819	0	999	0.300
2	4	0	-0.700	0	0.570	1	999	0.300
2	5	0	0.700	1	0.785	1	999	0.300
2	6	0	0.700	1	0.569	1	999	0.300
2	7	0	0.300	1	0.752	1	999	0.300
2	8	0	-0.100	0	0.902	1	999	0.325
2	9	1	0.000	999	0.000	999	1	0.300
2	10	1	-0.100	999	0.000	999	1	0.325
2	11	0	-0.300	0	0.587	1	999	0.300
2	12	0	0.700	1	0.469	1	999	0.300
2	13	1	0.700	999	0.000	999	1	0.300
2	14	1	0.300	1	0.602	1	0	0.300
2	15	1	-0.700	0	0.521	1	0	0.325
2	16	0	0.300	1	0.585	1	999	0.275
2	17	0	-0.300	0	0.569	1	999	0.275
2	18	0	0.300	1	0.755	1	999	0.275
2	19	1	-0.300	0	0.652	1	0	0.275
2	20	0	0.000	1	0.685	1	999	0.325
2	21	0	-0.300	0	0.387	1	999	0.250
2	22	0	0.100	1	0.569	1	999	0.350
2	23	0	0.100	1	0.769	1	999	0.350
2	24	0	-0.100	0	0.552	1	999	0.350
2	25	0	0.000	1	0.635	0	999	0.325
2	26	0	-0.700	0	0.602	1	999	0.300
2	27	0	-0.100	0	0.552	1	999	0.350
2	28	0	-0.700	0	0.486	1	999	0.300
2	29	1	-0.300	999	0.000	999	1	0.250
2	30	1	0.100	999	0.000	999	1	0.350
2	31	0	0.000	0	0.419	0	999	0.325
2	32	0	0.100	1	0.535	1	999	0.375
2	33	0	-0.100	1	1.202	0	999	0.375
2	34	0	0.000	0	1.569	1	999	0.325
2	35	1	-0.100	999	0.000	999	1	0.375
2	36	0	0.700	1	0.535	1	999	0.300
2	37	0	-0.700	0	0.435	1	999	0.300
2	38	0	-0.700	0	0.652	1	999	0.300
2	39	0	-0.700	0	0.902	1	999	0.300
2	40	0	0.700	1	0.552	1	999	0.300
2	41	0	0.100	0	0.752	0	999	0.400
2	42	0	0.700	1	0.486	1	999	0.300
2	43	0	0.100	1	0.602	1	999	0.400
2	44	0	0.300	1	0.619	1	999	0.275
2	45	1	0.000	999	0.000	999	1	0.325
2	46	0	0.000	1	0.452	0	999	0.350
2	47	1	-0.700	0	0.605	1	0	0.300
2	48	1	0.700	999	0.000	999	1	0.275
2	49	0	-0.300	0	0.569	1	999	0.275
2	50	0	-0.100	0	0.602	1	999	0.400
2	51	0	0.300	1	0.552	1	999	0.275
2	52	1	0.300	1	0.535	1	0	0.275
2	53	0	-0.300	0	0.705	1	999	0.250
2	54	0	-0.100	0	0.769	1	999	0.400
2	55	0	0.300	1	0.569	1	999	0.250
2	56	0	-0.300	0	0.552	1	999	0.250
2	57	0	0.300	1	0.569	1	999	0.250
2	58	1	-0.300	999	0.000	999	1	0.250
2	59	0	-0.700	0	0.586	1	999	0.300
2	60	0	0.000	1	0.769	0	999	0.350
2	61	0	0.000	0	0.669	0	999	0.350
2	62	0	-0.700	0	0.552	1	999	0.300
2	63	0	0.700	1	0.569	1	999	0.300
2	64	0	-0.700	0	0.469	1	999	0.300
2	65	0	0.700	1	0.536	1	999	0.300
2	66	0	-0.300	0	0.719	1	999	0.275
2	67	0	-0.300	0	0.635	1	999	0.275
2	68	0	0.000	1	0.952	1	999	0.350
2	69	0	-0.100	0	0.886	1	999	0.400
2	70	0	-0.100	1	1.352	0	999	0.400
2	71	1	0.300	999	0.000	999	1	0.275
2	72	0	0.300	1	0.553	1	999	0.300
2	73	1	0.000	999	0.000	999	1	0.350
2	74	0	-0.100	0	0.569	1	999	0.400
2	75	0	-0.300	0	0.502	1	999	0.300
2	76	1	0.700	1	0.469	1	0	0.300
2	77	1	0.100	1	0.535	1	0	0.400
2	78	1	-0.100	999	0.000	999	1	0.375
2	79	1	-0.700	0	0.536	1	0	0.275
2	80	0	0.100	1	0.785	1	999	0.400
2	81	0	0.100	1	0.619	1	999	0.400
2	82	0	0.100	1	0.935	1	999	0.400
2	83	0	0.700	1	0.602	1	999	0.250
2	84	0	0.300	1	0.569	1	999	0.300
