trial_number,condition,subcondition,item_number,probe,corprobe_position,button_pressed,accuracy,rt
NA,fixation,NA,NA,NA,NA,NA,NA,NA
1,Sent,1,44,2,NA,2,1,0.906230926514
2,Sent,1,98,1,9,1,1,0.869802951813
3,Sent,1,21,1,6,1,1,0.869579076767
4,Nonw,1,37,2,NA,2,1,0.936666965485
5,Nonw,1,115,2,NA,2,1,0.986749887466
6,Nonw,1,20,1,9,1,1,1.00670099258
7,Nonw,1,65,2,NA,2,1,0.852936029434
8,Nonw,1,33,2,NA,2,1,0.802848100662
9,Nonw,1,102,1,8,1,1,0.903140068054
10,Sent,1,12,1,10,1,1,1.13441181183
11,Sent,1,110,2,NA,2,1,0.687879800797
12,Sent,1,47,2,NA,2,1,0.736080884933
NA,fixation,NA,NA,NA,NA,NA,NA,NA
13,Nonw,1,68,2,NA,2,1,0.821979999542
14,Nonw,1,7,1,3,2,0,1.03424596786
15,Nonw,1,59,1,9,1,1,0.869866132736
16,Sent,1,87,1,6,1,1,0.919858932495
17,Sent,1,2,1,2,1,1,0.836373090744
18,Sent,1,22,1,5,1,1,0.821922063828
19,Nonw,1,26,2,NA,2,1,0.836334943771
20,Nonw,1,95,1,11,1,1,0.869757890701
21,Nonw,1,9,1,11,1,1,0.752751111984
22,Sent,1,103,2,NA,2,1,0.769370079041
23,Sent,1,43,1,9,1,1,0.855301141739
24,Sent,1,78,2,NA,2,1,0.769712924957
NA,fixation,NA,NA,NA,NA,NA,NA,NA
25,Sent,1,65,2,NA,2,1,0.788271188736
26,Sent,1,9,2,NA,2,1,0.769396781921
27,Sent,1,105,2,NA,2,1,0.769381999969
28,Nonw,1,114,2,NA,2,1,1.10101318359
29,Nonw,1,10,1,2,1,1,0.869983196259
30,Nonw,1,19,2,NA,2,1,0.855361938477
31,Sent,1,99,1,10,1,1,0.886419057846
32,Sent,1,23,1,12,1,1,0.735603094101
33,Sent,1,108,1,7,1,1,0.769442081451
34,Nonw,1,47,1,7,1,1,0.903135061264
35,Nonw,1,104,1,7,1,1,0.922950029373
36,Nonw,1,62,2,NA,2,1,0.836227893829
NA,fixation,NA,NA,NA,NA,NA,NA,NA
37,Nonw,1,16,2,NA,2,1,0.737648010254
38,Nonw,1,84,2,NA,2,1,0.852742910385
39,Nonw,1,63,1,11,1,1,0.869613170624
40,Sent,1,93,2,NA,2,1,0.802942991257
41,Sent,1,79,1,5,1,1,0.752897024155
42,Sent,1,35,2,NA,2,1,0.838886022568
43,Sent,1,41,1,8,1,1,0.735862016678
44,Sent,1,58,2,NA,2,1,0.802873134613
45,Sent,1,97,1,6,1,1,0.936564207077
46,Nonw,1,109,1,10,1,1,0.886370897293
47,Nonw,1,44,2,NA,2,1,0.771290063858
48,Nonw,1,29,2,NA,2,1,0.970052957535
NA,fixation,NA,NA,NA,NA,NA,NA,NA
