SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
self-tracking_0101,1,n,4,2,1,16.016366958618164,20.528825044631958,Hard,"[6, 11, 5, 10, 7, 8, 9, 3]","[6, 9, 5, 11, 10, 8, 7, 4]",2,2,1,1.1697678565979004
self-tracking_0101,1,n,4,2,2,24.004753828048706,28.517098903656006,Hard,"[7, 3, 1, 11, 5, 2, 6, 12]","[12, 3, 11, 6, 5, 2, 1, 8]",1,1,1,2.1558871269226074
self-tracking_0101,1,n,4,2,3,32.00974988937378,36.52197885513306,Hard,"[12, 8, 11, 3, 6, 2, 4, 9]","[8, 12, 6, 10, 7, 2, 3, 11]",2,2,1,1.4706239700317383
self-tracking_0101,1,n,4,2,4,40.01474905014038,44.52686285972595,Hard,"[12, 9, 2, 1, 7, 5, 11, 8]","[9, 7, 5, 2, 11, 8, 1, 6]",1,2,0,2.2395331859588623
self-tracking_0101,1,n,4,2,5,48.003010988235474,52.5317919254303,Easy,"[10, 7, 9, 5]","[9, 10, 5, 4]",1,1,1,1.1697709560394287
self-tracking_0101,1,n,4,2,6,56.00775504112244,60.520015001297,Easy,"[11, 4, 12, 10]","[11, 12, 4, 2]",2,2,1,1.3035449981689453
self-tracking_0101,1,n,4,2,7,64.01273989677429,68.52499103546143,Easy,"[11, 1, 10, 8]","[5, 11, 10, 1]",2,2,1,1.7380149364471436
self-tracking_0101,1,n,4,2,8,72.00102400779724,76.53001403808594,Easy,"[12, 3, 5, 10]","[12, 3, 8, 5]",2,1,0,2.0555639266967773
self-tracking_0101,1,n,4,2,9,80.00602293014526,84.51806902885437,Easy,"[9, 10, 1, 2]","[1, 9, 10, 11]",1,1,1,1.4706079959869385
self-tracking_0101,1,n,4,2,10,88.01101803779602,92.52308988571167,Easy,"[6, 3, 1, 4]","[6, 1, 12, 3]",2,2,1,1.4037280082702637
self-tracking_0101,1,n,4,2,11,96.01572704315186,100.52796983718872,Easy,"[12, 4, 3, 8]","[12, 9, 3, 4]",2,2,1,1.2534441947937012
self-tracking_0101,1,n,4,2,12,104.00396394729614,108.53306603431702,Easy,"[6, 4, 3, 10]","[3, 10, 6, 9]",1,1,1,1.2366859912872314
self-tracking_0101,1,n,4,2,13,112.00957703590393,116.5213508605957,Hard,"[4, 6, 3, 12, 7, 11, 8, 5]","[2, 4, 8, 6, 11, 7, 3, 12]",2,2,1,1.1363611221313477
