Experiment date: 2013_10_22_7_40_34
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
4	1	0	0.300	1	0.785	1	999	0.300
4	2	0	0.100	1	0.869	1	999	0.300
4	3	0	0.700	1	0.635	1	999	0.300
4	4	1	-0.100	0	0.919	1	0	0.300
4	5	0	0.100	1	1.135	1	999	0.275
4	6	0	0.300	1	0.671	1	999	0.300
4	7	1	0.700	999	0.000	999	1	0.300
4	8	0	0.700	1	0.569	1	999	0.325
4	9	1	0.000	999	0.000	999	1	0.300
4	10	0	-0.100	1	1.269	0	999	0.275
4	11	0	-0.700	0	0.604	1	999	0.325
4	12	0	0.000	0	0.952	1	999	0.325
4	13	0	-0.300	0	0.685	1	999	0.300
4	14	1	0.100	999	0.000	999	1	0.275
4	15	0	0.000	1	0.852	1	999	0.325
4	16	0	-0.100	0	1.569	1	999	0.300
4	17	0	0.700	1	0.602	1	999	0.325
4	18	0	0.300	1	0.635	1	999	0.300
4	19	0	-0.300	0	0.502	1	999	0.300
4	20	0	-0.700	0	0.669	1	999	0.325
4	21	0	-0.700	0	0.585	1	999	0.325
4	22	1	-0.700	0	0.519	1	0	0.325
4	23	1	0.300	1	0.485	1	0	0.300
4	24	0	0.000	0	0.719	0	999	0.325
4	25	0	-0.100	1	0.802	0	999	0.300
4	26	0	-0.300	0	0.652	1	999	0.275
4	27	1	-0.300	999	0.000	999	1	0.275
4	28	0	0.100	0	0.620	0	999	0.300
4	29	0	-0.100	0	1.002	1	999	0.300
4	30	0	0.100	1	0.619	1	999	0.300
4	31	0	-0.700	0	0.552	1	999	0.300
4	32	1	-0.700	999	0.000	999	1	0.300
4	33	0	-0.300	0	0.869	1	999	0.300
4	34	0	-0.300	0	0.552	1	999	0.300
4	35	1	0.100	1	1.369	1	0	0.300
4	36	0	-0.300	0	0.752	1	999	0.300
4	37	0	0.700	1	0.569	1	999	0.325
4	38	0	-0.100	1	0.802	0	999	0.275
4	39	0	0.100	1	0.669	1	999	0.275
4	40	1	0.300	1	0.585	1	0	0.300
4	41	1	0.700	999	0.000	999	1	0.325
4	42	0	0.300	1	0.802	1	999	0.275
4	43	0	0.000	0	1.069	0	999	0.325
4	44	0	0.000	1	0.752	0	999	0.325
4	45	0	0.700	1	0.535	1	999	0.350
4	46	0	0.300	1	0.652	1	999	0.275
4	47	0	-0.100	0	1.302	1	999	0.275
4	48	0	0.300	1	1.085	1	999	0.275
4	49	0	-0.700	0	0.535	1	999	0.350
4	50	0	-0.700	0	0.619	1	999	0.350
4	51	0	0.700	1	0.602	1	999	0.350
4	52	1	-0.300	999	0.000	999	1	0.275
4	53	1	-0.100	999	0.000	999	1	0.275
4	54	0	0.000	1	0.635	0	999	0.325
4	55	0	0.100	1	0.819	1	999	0.300
4	56	1	0.000	999	0.000	999	1	0.325
4	57	1	0.300	999	0.000	999	1	0.300
4	58	1	-0.700	999	0.000	999	1	0.350
4	59	0	-0.100	0	0.585	1	999	0.300
4	60	0	-0.700	0	0.519	1	999	0.375
4	61	0	-0.300	0	0.819	1	999	0.325
4	62	0	0.300	1	0.538	1	999	0.325
4	63	0	-0.300	0	0.819	1	999	0.325
4	64	0	0.100	1	0.585	1	999	0.300
4	65	0	-0.700	0	0.469	1	999	0.375
4	66	0	0.700	1	0.553	1	999	0.375
4	67	1	0.700	1	0.452	1	0	0.375
4	68	1	-0.100	0	0.535	1	0	0.300
4	69	1	0.000	999	0.000	999	1	0.350
4	70	0	-0.100	0	0.552	1	999	0.275
4	71	0	0.300	1	0.402	1	999	0.325
4	72	0	0.000	0	0.654	0	999	0.375
4	73	0	-0.700	0	0.802	1	999	0.350
4	74	1	0.100	999	0.000	999	1	0.275
4	75	1	-0.300	0	0.502	1	0	0.325
4	76	0	-0.100	0	0.719	1	999	0.300
4	77	0	0.000	1	0.552	1	999	0.375
4	78	0	0.100	1	0.902	1	999	0.300
4	79	0	-0.300	0	0.602	1	999	0.300
4	80	0	0.300	1	0.586	1	999	0.300
4	81	0	0.000	0	0.703	1	999	0.375
4	82	0	0.100	1	0.671	1	999	0.300
4	83	0	0.700	1	0.485	1	999	0.350
4	84	0	0.700	1	0.535	1	999	0.350
