Experiment date: 2013_10_10_7_38_44
SesNo	Trial	BlockAncher	PrepOn	StimOn	StimOff	KeyPressTime	Keypress	BeepOn
2	1	14794.464	14801.730	14801.980	14803.736	14803.732		14802.288
2	2	14794.464	14806.230	14806.480	14807.210	14807.200	b	0.000
2	3	14794.464	14813.230	14813.480	14814.300	14814.298	b	0.000
2	4	14794.464	14816.980	14817.230	14817.801	14817.799	b	0.000
2	5	14794.464	14822.229	14822.479	14823.267	14823.265	y	0.000
2	6	14794.464	14829.729	14829.979	14830.550	14830.548	y	0.000
2	7	14794.464	14835.229	14835.479	14836.233	14836.231	y	0.000
2	8	14794.464	14840.479	14840.729	14841.633	14841.631	b	0.000
2	9	14794.464	14843.479	14843.729	14845.483	14845.481		14844.033
2	10	14794.464	14848.229	14848.479	14850.236	14850.233		14848.816
2	11	14794.464	14852.729	14852.979	14853.568	14853.565	b	0.000
2	12	14794.464	14856.229	14856.479	14856.949	14856.947	y	0.000
2	13	14794.464	14862.978	14863.228	14864.982	14864.980		14863.532
2	14	14794.464	14866.728	14866.978	14867.582	14867.580	y	14867.283
2	15	14794.464	14869.728	14869.978	14870.503	14870.500	b	14870.320
2	16	14794.464	14877.228	14877.478	14878.066	14878.064	y	0.000
2	17	14794.464	14880.728	14880.978	14881.548	14881.547	b	0.000
2	18	14794.464	14885.978	14886.228	14886.986	14886.982	y	0.000
2	19	14794.464	14889.228	14889.478	14890.132	14890.130	b	14889.770
2	20	14794.464	14894.978	14895.228	14895.915	14895.913	y	0.000
2	21	14794.464	14898.478	14898.728	14899.116	14899.114	b	0.000
2	22	14794.464	14902.977	14903.227	14903.798	14903.796	y	0.000
2	23	14794.464	14907.477	14907.727	14908.498	14908.496	y	0.000
2	24	14794.464	14911.477	14911.727	14912.281	14912.279	b	0.000
2	25	14794.464	14914.477	14914.727	14915.365	14915.363	y	0.000
2	26	14794.464	14920.227	14920.477	14921.081	14921.079	b	0.000
2	27	14794.464	14925.727	14925.977	14926.531	14926.529	b	0.000
2	28	14794.464	14928.727	14928.977	14929.464	14929.463	b	0.000
2	29	14794.464	14934.227	14934.477	14936.231	14936.229		14934.731
2	30	14794.464	14938.227	14938.477	14940.230	14940.229		14938.831
