Experiment date: 2013_10_31_7_45_22
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
6	1	0	-0.700	0	0.652	1	999	0.300
6	2	0	-0.700	0	0.518	1	999	0.300
6	3	0	0.700	1	0.569	1	999	0.300
6	4	0	0.700	1	0.521	1	999	0.300
6	5	0	0.300	1	0.785	1	999	0.300
6	6	0	0.100	1	0.619	1	999	0.300
6	7	0	-0.100	0	0.952	1	999	0.300
6	8	0	0.000	1	0.752	1	999	0.300
6	9	1	-0.300	0	0.419	1	0	0.300
6	10	0	-0.100	1	0.719	0	999	0.300
6	11	0	0.100	1	0.785	1	999	0.300
6	12	1	-0.100	0	0.652	1	0	0.300
6	13	1	-0.700	999	0.000	999	1	0.300
6	14	1	0.300	999	0.000	999	1	0.275
6	15	0	0.300	1	0.485	1	999	0.300
6	16	0	0.000	1	0.752	1	999	0.300
6	17	0	0.700	1	0.502	1	999	0.325
6	18	1	0.700	1	0.553	1	0	0.325
6	19	0	0.000	0	0.835	0	999	0.300
6	20	0	-0.100	1	0.602	0	999	0.275
6	21	1	0.000	999	0.000	999	1	0.300
6	22	1	0.100	999	0.000	999	1	0.275
6	23	0	-0.700	0	0.485	1	999	0.300
6	24	0	0.100	1	0.669	1	999	0.300
6	25	0	-0.300	0	0.435	1	999	0.300
6	26	0	-0.300	0	0.502	1	999	0.300
6	27	0	-0.300	0	0.752	1	999	0.300
6	28	0	0.300	1	0.502	1	999	0.300
6	29	1	0.300	999	0.000	999	1	0.300
6	30	1	-0.100	999	0.000	999	1	0.300
6	31	0	0.000	1	0.569	0	999	0.325
6	32	0	0.100	1	0.719	1	999	0.325
6	33	0	-0.100	0	0.719	1	999	0.325
6	34	0	-0.300	0	0.552	1	999	0.325
6	35	0	-0.100	0	0.786	1	999	0.325
6	36	0	0.300	1	0.502	1	999	0.325
6	37	0	0.100	0	0.554	0	999	0.325
6	38	1	0.000	999	0.000	999	1	0.325
6	39	1	0.700	1	0.603	1	0	0.300
6	40	0	0.700	1	0.535	1	999	0.275
6	41	0	0.100	1	0.669	1	999	0.325
6	42	0	-0.700	0	0.552	1	999	0.275
6	43	0	-0.700	0	0.635	1	999	0.275
6	44	0	-0.700	0	0.502	1	999	0.275
6	45	0	0.300	1	0.502	1	999	0.325
6	46	1	-0.300	0	0.519	1	0	0.325
6	47	0	-0.100	0	0.535	1	999	0.325
6	48	0	0.000	0	0.602	0	999	0.350
6	49	0	0.700	1	0.485	1	999	0.275
6	50	1	-0.700	0	0.419	1	0	0.275
6	51	1	0.100	999	0.000	999	1	0.325
6	52	0	0.300	1	0.403	1	999	0.300
6	53	0	0.700	1	0.752	1	999	0.250
6	54	0	-0.300	0	0.602	1	999	0.300
6	55	0	0.000	0	0.852	1	999	0.350
6	56	0	-0.300	0	0.552	1	999	0.300
6	57	0	-0.300	0	0.569	1	999	0.300
6	58	0	0.000	0	1.053	1	999	0.350
6	59	0	0.100	1	0.569	1	999	0.350
6	60	1	0.100	999	0.000	999	1	0.350
6	61	0	0.300	1	0.619	1	999	0.300
6	62	0	-0.700	0	0.471	1	999	0.250
6	63	0	0.700	1	0.519	1	999	0.250
6	64	0	-0.300	0	0.585	1	999	0.300
6	65	1	0.000	999	0.000	999	1	0.350
6	66	0	0.100	1	0.752	1	999	0.375
6	67	0	-0.700	0	0.685	1	999	0.250
6	68	0	0.300	1	0.585	1	999	0.300
6	69	0	-0.100	0	0.602	1	999	0.375
6	70	0	-0.100	0	0.635	1	999	0.375
6	71	0	-0.300	0	0.552	1	999	0.300
6	72	0	0.700	1	0.504	1	999	0.250
6	73	0	0.700	1	0.586	1	999	0.250
6	74	1	0.300	999	0.000	999	1	0.300
6	75	1	-0.700	999	0.000	999	1	0.250
6	76	1	-0.100	999	0.000	999	1	0.375
6	77	0	0.100	1	0.602	1	999	0.400
6	78	0	-0.700	0	0.552	1	999	0.275
6	79	0	-0.100	0	0.952	1	999	0.400
6	80	1	-0.300	999	0.000	999	1	0.325
6	81	0	0.300	1	0.585	1	999	0.350
6	82	0	0.000	0	0.585	1	999	0.375
6	83	0	0.000	0	0.568	0	999	0.375
6	84	1	0.700	1	0.452	1	0	0.275
