trial_number,condition,subcondition,item_number,probe,corprobe_position,button_pressed,accuracy,rt
NA,fixation,NA,NA,NA,NA,NA,NA,NA
1,Sent,1,2,2,NA,2,1,1.21738696098
2,Sent,1,102,1,6,1,1,0.867871046066
3,Sent,1,40,1,12,1,1,1.03401994705
4,Nonw,1,92,2,NA,2,1,0.884438991547
5,Nonw,1,49,2,NA,2,1,1.05134797096
6,Nonw,1,75,1,10,2,0,0.934548854828
7,Nonw,1,51,2,NA,2,1,0.901070833206
8,Nonw,1,106,2,NA,1,0,0.851196050644
9,Nonw,1,13,2,NA,2,1,0.834578037262
10,Sent,1,76,2,NA,2,1,0.834501028061
11,Sent,1,31,1,4,2,0,0.901220083237
12,Sent,1,96,1,12,1,1,1.03404998779
NA,fixation,NA,NA,NA,NA,NA,NA,NA
13,Nonw,1,42,2,NA,2,1,1.10040307045
14,Nonw,1,79,1,1,1,1,0.951879024506
15,Nonw,1,6,2,NA,2,1,1.35079503059
16,Sent,1,8,2,NA,2,1,0.801069021225
17,Sent,1,116,2,NA,2,1,1.050770998
18,Sent,1,89,2,NA,2,1,0.984668970108
19,Nonw,1,88,2,NA,2,1,1.00133800507
20,Nonw,1,28,2,NA,1,0,1.13449597359
21,Nonw,1,87,2,NA,1,0,1.33428907394
22,Sent,1,54,1,6,1,1,0.96800994873
23,Sent,1,10,2,NA,2,1,0.767832994461
24,Sent,1,100,1,2,1,1,0.984516859055
NA,fixation,NA,NA,NA,NA,NA,NA,NA
25,Sent,1,63,1,11,1,1,0.951192140579
26,Sent,1,5,2,NA,2,1,0.801250934601
27,Sent,1,16,2,NA,2,1,0.784465074539
28,Nonw,1,48,1,11,1,1,1.06735515594
29,Nonw,1,37,2,NA,2,1,1.10074090958
30,Nonw,1,82,2,NA,1,0,1.35082197189
31,Sent,1,98,2,NA,2,1,0.784648895264
32,Sent,1,62,2,NA,1,0,0.901172876358
33,Sent,1,84,1,11,1,1,0.950778961182
34,Nonw,1,90,2,NA,1,0,1.35030412674
35,Nonw,1,5,2,NA,2,1,1.21751904488
36,Nonw,1,26,1,6,1,1,0.934715986252
NA,fixation,NA,NA,NA,NA,NA,NA,NA
37,Nonw,1,29,1,4,1,1,1.03416991234
38,Nonw,1,80,2,NA,1,0,1.00105309486
39,Nonw,1,59,1,9,1,1,1.1342689991
40,Sent,1,28,1,2,1,1,1.01731109619
41,Sent,1,68,2,NA,2,1,0.867841005325
42,Sent,1,17,1,5,1,1,0.901197910309
43,Sent,1,95,2,NA,2,1,0.73438501358
44,Sent,1,72,2,NA,2,1,0.718392133713
45,Sent,1,103,1,11,NA,NA,None
46,Nonw,1,98,1,9,1,1,0.967921972275
47,Nonw,1,18,2,NA,2,1,0.834449052811
48,Nonw,1,25,2,NA,2,1,0.984821081161
NA,fixation,NA,NA,NA,NA,NA,NA,NA
